,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
381,Mitch Haniger,28,87,MLB-AL,Seattle,63,283,246,46,54,13,1,15,32,30,1,81,5,0,2,3,4,0,0.22,0.314,0.46299999999999997,0.778
382,Alen Hanson,26,122,MLB-AL,Toronto,18,48,43,5,7,0,0,0,4,3,1,17,1,0,1,0,1,0,0.163,0.22899999999999998,0.163,0.392
383,Ian Happ,24,0,MLB-NL,Chicago,33,94,83,16,19,3,1,5,13,11,0,23,0,0,0,0,1,0,0.22899999999999998,0.319,0.47,0.789
384,J.A. Happ,36,126,MLB-AL,New York,2,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0
385,Bryce Harper,26,0,MLB-NL,Philadelphia,131,580,487,85,125,32,0,29,97,87,9,154,4,0,2,8,9,2,0.257,0.37200000000000005,0.501,0.873
386,Josh Harrison,31,97,MLB-AL,Detroit,36,146,136,10,24,7,1,1,8,6,0,26,2,0,2,0,4,2,0.17600000000000002,0.21899999999999997,0.265,0.484
387,Donnie Hart,28,28,MLB-NL,"Milwaukee,New York",2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
388,Adam Haseley,23,0,MLB-NL,Philadelphia,42,151,140,19,36,8,0,3,18,8,1,38,3,0,0,4,4,0,0.257,0.311,0.379,0.69
389,Ryon Healy,27,104,MLB-AL,Seattle,47,187,169,24,40,16,0,7,26,13,0,40,1,0,4,1,0,0,0.237,0.289,0.456,0.7440000000000001
391,Adeiny Hechavarria,30,0,MLB-NL,"New York,Atlanta",74,196,181,28,40,11,0,6,27,11,0,44,3,0,1,2,3,0,0.221,0.276,0.381,0.657
392,Austin Hedges,26,1,MLB-NL,San Diego,85,292,265,23,52,9,1,10,33,19,1,93,5,2,1,3,1,0,0.196,0.262,0.35100000000000003,0.613
393,Scott Heineman,26,0,MLB-AL,Texas,13,47,42,3,8,4,0,0,2,4,0,11,1,0,0,1,0,1,0.19,0.27699999999999997,0.28600000000000003,0.562
394,Jeremy Hellickson,32,105,MLB-NL,Washington,8,13,9,3,1,0,0,0,0,2,0,4,0,2,0,0,0,0,0.111,0.273,0.111,0.384
395,Ryan Helsley,24,7,MLB-NL,St. Louis,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0
396,Kyle Hendricks,29,4,MLB-NL,Chicago,24,51,43,1,8,1,0,0,4,2,0,24,1,5,0,1,0,0,0.18600000000000003,0.239,0.209,0.44799999999999995
397,Guillermo Heredia,28,9,MLB-AL,Tampa Bay,75,208,182,26,41,11,0,4,17,17,0,52,6,2,1,4,2,1,0.225,0.311,0.35200000000000004,0.662
398,Michael Hermosillo,24,48,MLB-AL,Los Angeles,1,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.0,0.25,0.0,0.25
399,Cesar Hernandez,29,0,MLB-NL,Philadelphia,134,549,504,62,143,27,3,8,57,35,4,78,6,0,4,8,7,2,0.284,0.335,0.397,0.732
400,Elieser Hernandez,24,2,MLB-NL,Miami,12,20,17,0,1,0,0,0,0,1,0,9,0,2,0,0,0,0,0.059000000000000004,0.111,0.059000000000000004,0.17
401,Enrique Hernandez,27,0,MLB-NL,Los Angeles,111,403,360,50,88,17,1,17,60,33,3,85,6,0,4,5,3,0,0.244,0.315,0.439,0.754
402,Felix Hernandez,33,130,MLB-AL,Seattle,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
